Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location,
Transportation Management System Dev ,Web Development,"$200,000 to $999,999",Apr. 2017 - Ongoing,"IT CRAFT has developed an application to modernize logistical management and optimize speed. Built with .NET in Java and SQL Server, the app contains two-sided user portals and integrations to track APIs.",Chris Scheid,"Co-Founder, Integrated Transportation Management","Transportation, Trucking, Railroad",1-10 Employees,"Scottsdale, Arizona",
Product Enhancement for On-Demand Laundry Service,Custom Software Development,Confidential,2014 - Ongoing,"IT Craft fully redesigned a city-wide pickup/delivery system, providing custom software development, location services, and API integration as well as Android app creation. They now manage feature additions.",None,"Founder, eLaundry",Consumer Products,1-10 Employees,"New York, New York",
Ongoing Dev for Religious Nonprofit,Development,"$50,000 to $199,999",Oct. 2015 - Ongoing,"IT Craft helped develop a landing page and a system to monitor downloads. They also developed an app to convert printed materials onto a web-based platform, and integrated a database to store user interactions.",None,Director of Information Systems,Religious Institutions,51-200 Employees,"Greenwood, Indiana",
MVP Redevelopment for B2B Startup,Custom Software Development,Confidential,Nov. 2016 - Ongoing,IT CRAFT rebuilt a teleconferencing microservice platform meant for scheduling billable video calls. The team consistently poses suggestions improving the original specs and now focuses mainly on user growth.,None,"Founder & CEO, B2B Platform Startup",Business Services,2-10 Employees,"Berlin, Germany",
Prototype Dev for International Trade & Visa Firm,Custom Software Development,"$10,000 to $49,999",Apr. 2015 - Ongoing,"IT Craft took a preconceived frontend mockup and then developed a website to process travel visas. Having launched the site, the project team now implements new features and provides support.",Keith de Saram,"Business Development Manager, KES Visa & Legalization",Import & Export,11-50 Employees,"Hague, Netherlands",
Web Development for Graphic Design Marketplace,Web Development,"$50,000 to $199,999",Feb. 2008 - Dec. 2011,"IT Craft used supplied mockups to develop/implement a functional version of a newly conceived brand marketplace, which caters exclusively to designers.",Wes Wilson,"Former Founder, Graphic Design Marketplace",Marketing & Advertising,1-10 employees,"San Antonio, Texas",
Custom PHP Development for Technology Company,Custom Software Development,"$200,000 to $999,999",July 2014 - Ongoing,"IT Craft supports Endurant with development projects. Since the partnership began, they have built open-source CRM infrastructure, custom mobile apps, and a responsive web application.",None,"Director of Information Services, Endurant",IT Services,1-10 Employees,United States,
iOS App Dev for Medical Communications Agency,Mobile App Development,"$200,000 to $999,999",Nov. 2017 - Ongoing,InnoviMobile rebuilt an app that wasnt compatible with the latest iOS upgrades. They added new features and are currently in phase 2 of the development.,None,"VP of Operations, ",Healthcare ,11-50 Employees,"Atlanta, Georgia",
iOS App Dev for Student Housing Startup,Mobile App Development,"$10,000 to $49,999",May. 2017 - Ongoing,"Found through Clutch, InnoviMobile developed an iOS app based off of an existing website to facilitate the search for housing using specific criteria.",None,"Founder, Perch'n",Education,1-10 Employees,"New York, New York",
App Dev for Community Nonprofit Organization,Mobile App Development,"$10,000 to $49,999",Mar 17 - Ongoing,Innovimobile developed a finance app to serve users in third-world countries. Their primary responsibility was to design software for managing loans. Development is ongoing as production continues.,None,"Technology Manager, Community-based Organization",Non-profit,"501-1,000 Employees","Mississuaga, Ontario",
Mobile App Dev for Healthcare Company,Mobile App Development,"$10,000 to $49,999",Feb. - Nov. 2015,"InnoviMobile built a customer-facing mobile app to support monthly billing activities, offering multiple design options while creating a streamlined UI and intuitive navigation within the AirWatch platform.",None,"IT Manager Unified Communications, Healthcare Network",Health care ,"10,001+ Employees","Scottsdale, Arizona",
App Dev for Fitness Tech Company,Mobile App Development,"Less than $10,000",2013,InnoviMobile developed a mobile MVP for automatic check-in via Bluetooth to a fitness center. The project was completed within a 2-week deadline and tied into an already-existing backend system.,David O'Malley,"Director of Technical Products, Medifit",Information Technology ,1-10 Employees,"Stamford, Connecticut",
Mobile App Dev for Photo Platform,Mobile App Development,"Less than $10,000",None,InnoviMobile developed iOS and Android mobile applications using the Xamarin platform.,None,"COO, Photo Platform",Information Technology ,2-10 Employees,"New York, New York",
Mobile App for Travel & Entertainment Content Publisher,Mobile App Development,"$10,000 to $49,999",None,"InnoviMobile built native iOS and Android mobile apps that provide location-based destination, events, and sports related information around the world for different verticals including travel and hospitality.",Fraser Campbell,"CEO, WCities.com",Internet,51-200 Employees,"San Francisco, California",
Mobile App Dev for Healthcare Solutions Company,Mobile App Development,"$50,000 to $199,999",2015 - Ongoing,InnoviMovile partnered with the healthcare tech firm to develop iOS and Android mobile applications and database solutions which run on hospital-provided tablets and patient devices.,None,"Director of Healthcare Technologies, Healthcare Tech Company",Hospital and Healthcare,51-200 Employees,"Sioux Falls, South Dakota",
Application Dev for Water Utility Company,Development,"$50,000 to $199,999",2016,InnoviMobile developed an educational and entertaining interactive application featuring animations for a 65-inch touchscreen using HTML5. They also developed Android and iOS apps for submitting water main breaks.,None,"IT Director, Water Utility Company",Utilities,"10,001+","New York, New York",
Mobile App Dev for Entertainment Solutions Company,Mobile App Development,"$1,000,000 - $9,999,999",2010 - Ongoing,"In this 67 year ongoing collaboration, InnoviMobile built all feature sets needed for a native iOS and Android app and also built a CMS. They continue to work on maintenance tasks like application updates. ",None,"Director Product Management, SONIFI Solutions, Inc.",Entertainment,501-1000 Employees,"Sioux Falls, South Dakota Area",
Frontend Dev for Custom Blockchain Company ,Custom Software Development,"$50,000 to $199,999",Sept. 2017 - Jan. 2018,"After providing recommendations and helping develop the scope of work, R-Style Lab managed frontend development for a token based customer referral solution.",None,"CMO, Blockchain Company",Financial Services,51-200 Employees,Denmark,
App Dev for Facial Transformation Platform,Mobile App Development,"$50,000 to $199,999",Mar. 2017 - Ongoing,R-Style Lab provided a full-service solution for a selfie alteration app. The team performedweb/mobile development andUX/UI design. They created face morphing algorithms and a neural network library.,Elyza Azarova,"Co-Founder & Executive VP, Amabella Invest LDT",Healthcare & Life Sciences,1-10 Employees,Cyprus,
Mobile App Dev for Educational Event Company,Mobile App Development,"$10,000 to $49,999",June - July 2017,R-Style Lab helped develop an iOS/Android app that integrated with an existingbackend service.,None,Founder & CEO,Education Management,11-50 Employees,"New York, New York",
PPC Management Software for PPC Agency,Custom Software Development,"$50,000 to $199,999",Feb. 2016 - Ongoing,"R-Style Lab developed a PPC platform that required AdWords and Bing Ads API experience. They provided custom coding for the platform, which is soon to be released.",None,"CTO, PPC Company",Advertising & Marketing,1-10 Employees,"Manchester, United Kingdom",
Subcontracted Project Work for Digital Agency,Custom Software Development,Confidential,2013 - Ongoing,R-Style is consistently subcontracted to support project overflow.Two noteworthy efforts include a mobile app for kids and a marketing campaign to increase visibility for a WordPress site.,None,Technical Direcor,Marketing & Advertising,201-500 Employees,"London, United Kingdom",
Mobile App Dev for Restaurant Delivery Company,Mobile App Development,"$50,000 to $199,999",Aug. 2016 - Ongoing,R-Style Labs designed and built iOS and Android versions of a mobile application for a technology restaurant business.,None,Co-Owner,Internet,1-10 Employees,Georgia,
WordPress Web & API Dev for Management Company,Web Development,"$10,000 to $49,999",Mar. - June 2017,"R-Style Lab redesigned a website using WordPress. The team then built a web API,iOS and Android mobile apps using PHP, Objective-C, and Java. They also provided advice on minor updates.",Charles Washington,"Mobile Developer, Okun Enterprises",Marketing and Advertising,1-10 Employees,"San Diego Metro Area, California",
App Development for Machine Learning Startup,Development,"$50,000 to $199,999",None,"R-Style Lab's key engineer acted as a CTO [Chief Technology Officer] for this project, proposing different ideas and developing a quick, experimental prototype with complicated algorithms related to machine learning.",None,"CEO, Consumer Electronics Firm",Consumer Electronics,2-10 employees,"London, United Kingdom",
Java Development for Financial Services Company,Custom Software Development,Confidential,None,"R-Style Lab developed an internal time and project-management system. It was a mostly Java-based system. The partnership concluded after this one-time project, which was considered a success.",None,Founder & CEO,Financial Services,1-10 Employees,New York City Metro Area,
Multiple WordPress Implementations for Digital Agency,Web Development,"$10,000 to $49,999",None,R-Style Lab provided developmental assistance on a number of WordPress sites. Their side of the project focused on functional developmentand integration of existingvisual designs.,Silje Willumsen Hansen,Project Manager at WhiteFox AS (Digital Agency),Computer Software,2-11 Employees,"Nordland County, Norway",
Web Development for Language Learning App,Web Development,"$50,000 to $199,999",Apr. - Oct. 2017,SwingDev built out a prototype to deliver a cross-platform and client-facing web app. They provided full stack development using Angular JS for the frontend and MongoDB for the backend.,Tsavo Knott,"Founder, accent.ai",IT Services,1-10 Employees,"Cincinnati, Ohio",
SaaS commerce platform,Custom Software Development,"$50,000 to $199,999",Jan. 2017 - Ongoing,"Swing Dev developed cloud architecture on Amazon Web Services, rebuilt an iOS app, programmed a Node API to integrate with legacy enterprise resource planning, and created a web app using React JS.",None,"CEO, Operational Software Company",Operational Software,1-10 Employees,USA,
Two-Sided Marketplace Dev for Real Estate Professionals,Web Development,Confidential,Dec. 2017 - Ongoing,"Using React.js and Redux, SwingDev developed a consumer-facing frontend on top of the existing backend. The portal allows users to perform account management actions such as signing up and editing profiles.",None,"Founder, Two-Sided Marketplace",IT Services,1-10 Employees,"San Francisco, California",
App Development for Dog-Walking Tool,Mobile App Development,"$50,000 to $199,999",June 2015 - Ongoing,"SwingDev developed a sleek mobile app (iOS/Android) with complex frontend, backend, and payment-processing components and offers ongoing support.",Brad Dickinson,"Co-Founder, Dachs",Computer Software,2-10 Employees,"San Francisco, California",
App Development for Education Startup,Mobile App Development,"$50,000 to $199,999",2013 - Ongoing,"SwingDev built an iPad version and Chinese language version of the client's iPhone app, expanding test prep coverage from the SAT to the SET, ACT, and LSAT too.",Michael Weiler,"Founder, Edupath",Education,11-50 employees,San Francisco Bay Area,
Web App Dev for Operations Solutions Company,Web Development,Confidential,2017 - Ongoing,Applaudo Studio is helping to develop a custom web application for both office and field use. They use Python.Net and Angular and are handling QA.,None,"CEO, Development Company ",Information technology,1-10 Employees,Information technology,
Mobile App Dev for Airline Customer Loyalty Program,Mobile App Development,Confidential,2018 - Ongoing,"Applaudo is providing mobile application development services, working on an iOS and Android platform. They update the programming language and work on the frontend.",None,"Strategy and BD Manager, Airline Customer Loyalty Program",Airlines,200 - 500 Employees,"San Salvador, El Salvador",
Game Redesign for Concussion App Company,Mobile App Development,"$10,000 to $49,999",Apr. 2017 - Ongoing,Applaudo Studios built a mobile app that allowed users to test for concussions. This involved revamping the app's design while also refining the performance and security. Theyre currently working on a website.,None,"Lead Designer, Concussion App",Information Technology ,1-10 Employees,"San Francisco, California",
Multiple Mobile Developments for Mobile Platform Development Agency,Mobile App Development,"$1,000,000 - $9,999,999",2015 - Ongoing,"Applaudo offers staff augmentation to a mobile product and services company for native development on iOS and Android platforms and mobile products. They also do QA, web development, backend, and server work.",Jeff Dickey,"VP, Operations and Fulfillment, Phunware, Inc. ",Information technology ,11- 50 Employees,"Austin, Texas",
Branding & Design for Healthcare Manufacturer,Branding,"Less than $10,000",Feb. - Apr. 2018,"Applaudo conceptualized the visual identity of a new product line. They designed the fonts, color palette, and other branding materials.",None,"CEO, Medical Manufacturer",Healthcare Manufacturing,11-50 Employees,"Lafayette, Colorado",
iOS Development for Social Networking App,Mobile App Development,"$10,000 to $49,999",Feb. 2015 - Dec. 2016,An entrepreneur created a professional networking app for strangers to meet up without exchanging personal details.,Aleeta Bell,"Founder, Pluhg",IT Services,Startup,New York Metro Area,
Fan Engagement App for Pro Soccer Team,Mobile App Development,"$50,000 to $199,999",None,"Applaudo is developing an application which allows fans to keep on top of the latest updates about a professional soccer club. The app features information such as standings, rosters, and history, among others.",Carlos Herrera,"Community Liaison, FC Edmonton",Sports,11-50 Employees,"Edmonton, Canada",
Web and Mobile Development for Digital City Guide,Mobile App Development,"$50,000 to $199,999",July 2016 - Ongoing,Applaudo is simultaneously performing web and mobile development for Android and iOS of a travel app. The product will allow users to book accommodations and make travel and leisure plans in featured locations.,Fausto Funes,"Founder, Expres Citi",Tourism,1-10 Employees,El Salvador,
App Development for Large Beverage Company,Development,"$10,000 to $49,999",None,"Applaudo Studios developed a pilot mobile app to ease the order-entry process of customers and ensure they received the order they requested. They built it to be similar to Amazon, but on a much smaller level.",None,"Head of Commercial Capabilities, Large Beverage Company",Food & Beverage,"10,001+ Employees",Latin America,
App Development for Large Beverage Company,Development,"$10,000 to $49,999",None,"Applaudo Studios developed a pilot mobile app to ease the order-entry process of customers and ensure they received the order they requested. They built it to be similar to Amazon, but on a much smaller level.",None,"Head of Commercial Capabilities, Large Beverage Company",Food & Beverage,"10,001+ Employees",Latin America,
Mobile App Dev for B2B Platform,Mobile App Development,"$10,000 to $49,999",Apr. 2017 - Ongoing,"Consagous took over development and enhancement of an existing iOS and Android mobile app when an in-house developer left. They are implementing chat, push notifications, a reservation system, and payments.",Sean Cooper,"CEO, Purposs",IT Services,1-10 Employees,"Alberta, Canada",
LoYakk Mobile Application Development,Mobile App Development,"$50,000 to $199,999",None,"Consagous provided resources for mobile application development, website development, backend Web services and API. The mobile app is compatible with both iOS and Android.",None,"CTO, IT Startup",Internet,11-50 Employees,San Francisco Bay Area,
Optimize Business Solutions Outsourced Magento Development,E-commerce Development,"$10,000 to $49,999",None,Consagous handled several developments using Magento as required by the business in its operations.,None,"Founder, Optimize Business Solutions, Web Design Firm",Marketing and Advertising,1-10 Employees,New York Metro Area,
Web Design Firm Magento Development ,E-commerce Development,Confidential,None,"The client is a small Web design firm. There was a need to find a Magento expert for various projects. Consagous provided Magento development for the end client. The work is completed, but more projects may be added in the future.",None,"Owner, Web Design Firm",Design,2-10 employees,Los Angeles Metro Area,
Bluetooth Bug Fix for Mobile App,Mobile App Development,"Less than $10,000",Jan. - Feb. 2018,"Consagous quickly fixed a Bluetooth bug in a mobile app, allowing for smooth integration with specialized marketing software.",Steve Moody,"CEO, Planet USA",Information Technology,51-200 Employees,"Asheville, North Carolina",
Ruby on Rails Web Redesign for Educational Nonprofit,Web design,"$200,000 to $999,999",Jan. - Aug. 2016,"Mobomo built a customized CMS with Spree analytics, allowing for easy future adjustments. They designed the pages, including the online shop and dashboard. They did SEO work and currently maintain the site.",None,"Website Project Manager, Nonprofit",Education Management,201 - 500 Employees,"Washington, DC",
Modernized Financial Calculator for NGO,Custom Software Development,Confidential,Feb. 2017 - Ongoing,"Mobomo redeveloped a complexasset & budget calculator. They focused on basic requirements for an initial launch, and continue enhancing the solution's core features.",Amber Oar,"Program Analyst, Center for Strategic and Budgetary Assessments",Defense & Space,11-50 Employees,"Washington, DC",
Site Redevelopment for Financial Advisory Firm,Web Development,Confidential,Apr. 2017 - Ongoing,Mobomo is replacing an old Weebly site with a completely redesigned one. The new website is being built with theexpress purpose of creating a better UX and appealing more favorably to new business.,None,Founder,Advisory ,1-10 Employees,Washington DC Metro Area,
Enterprise Grade iOS Dev for Nonprofit ,Mobile App Development,"$200,000 to $999,999",Nov. 2016 - Ongoing,"Mobomo developed a turnkey cross-platform app for military service members to easily utilize nearby nonprofit centers. Key features facilitate check-in, communication, info-sharing, and GPS.",None,"Former Director, Technology Innovation",Military,51-200 Employees,"Washington, DC",
iOS & Android Dev for Fitness Startup,Development,"$50,000 to $199,999",2015 - 2016,Mobomo redeveloped an existing personal fitness app for iOS/Android. The assigned project team improved the solution's functional backend and also redesigned its user interface.,Kwame Dankwah,"Founder & CEO, Ultra Fitness","Health, Wellness & Fitness",1-10 Employees,"London, United Kingdom",
Subcontracted Dev Project for Government Contractor,Mobile App Development,Confidential,July 2015 - Ongoing,Mobomo's subcontracted team first resolved bugs in an existing healthcare app [iOS/Android] sanctioned by the CDC. The project now includes new features and design enhancements.,None,"Sr. Director, Government Contractor",Healthcare & Medicine ,201-500 Employees,"Silverspring, Maryland",
Front-end Development Nonprofit Think Tank,Web Development,"$50,000 to $199,999",None,"Mobomo redesigned a public policy group's website to better suit its growing user base. The new design was more robust, responsive, and mobile-friendly.",None,"Research Fellow & Web Editor, Nonprofit Think Tank","Nonprofit, Think Tank",51-200 Employees,"Washington, DC",
Custom RAILS Development for Nonprofit Research Institute,Web Development,Confidential,Apr. 2012 - Ongoing,Mobomo designed and developed the a research organization'scustom website using Ruby on Rails. They continueto maintain and update the site.,None,"Digital Project Manager, Nonprofit Research Institute","Nonprofit, Research",51-200 Employees,"Washington, DC",
Custom iOS Application for Management Consultancy,Custom Software Development,"$50,000 to $199,999",None,Mobomo developed two custom iOS applications for the Efiia Group. One application was a limited version of the full-feature application.,None,"Managing Partner, The Efiia Group",Information Technology and Services,11-50 Employees,"Washington, DC",
Custom Application Development for Information Technology Firm,Mobile App Development,"$10,000 to $49,999",July 2013 - Apr. 2014,"Mobomo developed a custom website, iOS and Android applications, and a marketing site for 3Wired Group.",Lou Aronson,"CEO & Founder, Discourse Analytics",Internet,1-10 Employees,"Washington, DC",
iOS and Android App Development for Business Social Platform,Mobile App Development,"$10,000 to $49,999",Sept. 2017 - May 2018,Dev Technosys developed a social media mobile app for iOS and Android that helps people share their contacts through a card system. They handled all the documentation and provide ongoing SEO.,Alex Carter,"COM, MetKnow",Computer Software,1-10 Employees,"St. Louis, Missouri",
Web Development and Integrations for E-Book Creation Site,Web Development,"$10,000 to $49,999",Jun. 2017 - Ongoing,"Dev Technosys has built a mobile and web app similar to Canva. The web app has an e-commerce component with a payment integration. Features include login, support, contact.",None,"Owner, E-Book Creation Site",E-Learning,1-10 Employees,Serbia,
Web Development for Freelance Work Platform,Web Development,"$10,000 to $49,999",Jan. 2018 - Ongoing,"Dev Technosys is building a freelancer-employer matching platform that featured multiple payment gateways and extensive automation. After the platform is finished, they will develop corresponding mobile apps.",Eimantas Sakalauskas,"Owner, One Day Boss",Information Technology and Services,1-10 Employees,"Hampton Bays, New York",
Online Consultation Solution for Healthcare Startup,Web Development,"$10,000 to $49,999",Sept. 2017 - Ongoing,"DevTechnosys developed an on-demand medical consultation platform with video and audio calling. Designed with two separate user interfaces, the multi-phased project also had to meet privacy certifications.
",None,"CTO, EH Solutions",Healthcare ,51-200 Employees,India,
PHP Development for Bespoke E-commerce Site,E-commerce Development,"$10,000 to $49,999",Oct. 2017 - Apr. 2018,"DevTechnosys rebuilt an e-commerce platform in PHP, integrating new functionalities in a bespoke manner.",Ben Peterson,"Founder, Shopp'n'Ship",E-commerce,Sole Proprietor,"London, United Kingdom",
Development of Self Service Product Designer,Web Development,"$10,000 to $49,999",Sept. - Nov. 2017,"DevTechnosys designed and built a custom feature using PHP that allows users to design products by uploading photos, setting placement, and adding color schemes. They also created new pages to house the feature.",Shakil Prasla,"Founder, Uberpong",Leisure,1-10 Employees,"Austin, Texas",
E-commerce Development for Vendor Platform,E-commerce Development,"Less than $10,000",Aug. 2017 - Jan. 2018,DevTechnosys built an online marketplace with tools for both vendors and customers. They streamlined a number of backend processes and enhanced UX/UI.,None,"Director, MultyCompras",E-commerce,1-10 Employees,"Manchester, United Kingdom",
Web Dev for Online Health Care Platform,Web Development,"$10,000 to $49,999",June 2017 - Jan. 2018,"DevTechnosys developed a web platform from start to finish. They provided wireframes, designers, developers, and various analysts (e.g., QA, BA). Features include API integration, screensharing, and chat.",None,"Founder, Health Care Tech Startup",Health Care,None,"Philadelphia, Pennsylvania",
Development for Healthcare Platform Startup,Development,"Less than $10,000",July 2017 - Jan. 2018,"DevTech built a web and mobile healthcare platform that features doctor and patient profiles. Using LAMP coding, they developed the entire platform, including an administrative side to approve profiles.",None,"Founder, Konsulto","Health, Wellness & Fitness",1-10 Employees,Dominican Republic,
Website Mockups for Startup Seeking Funding,UI/UX Design,"Less than $10,000",Nov. 2016 - Dec. 2017,"DevTechnosys developed website mockups for a startup company seeking funding for its web and mobile application. Using Photoshop, they followed the provided specifications to put together the applications screens.",None,"Founder, Street Artist Social Network",Arts & Entertainment,Sole Proprietor,"Zurich, Switzerland",
Web Development for Event Management Platform,Web Development,"$50,000 to $199,999",Aug. 2017 - Ongoing,"Steelkiwi built a website from scratch, handling both design and development work. They implemented data-tracking for both users and business offering services, which allows them track success.",None,"Director, Events Company",Event Services,1-10 Employees,United Kingdom,
iOS & Android Dev for Nightlife Heat-Map App,Mobile App Development,"$50,000 to $199,999",Jan. 2018 - Ongoing,SteelKiwi designed and developed an app that shows venue popularity through the use of heat-map data. It includes filtering options to increase its user-friendliness. The project team also handled testing.,Yannig Le Bars,"Founder, Le-Must",Program Development,1-10 Employees,"Paris, France",
Web Dev for Digital Content & Distribution Platform,Web Development,"$200,000 to $999,999",2017 - Ongoing,"SteelKiwi is developing the MVP of a blockchain-powered collaboration platform using React.js and Solidarity. They are helping to create wireframes, plan andrefine features, and launch the product.",None,"Founder & CEO, Digital Content & Distribution Platform",Internet,1-10 Employees,Austria,
Web Dev for Personal Training Platform,Web Development,"$10,000 to $49,999",May 2017 - January 2018,"SteelKiwi designed and built a custom e-commerce site using Django, Python, and Amazon Web Services. They also set up Google Analytics.",Kathryn Tracy,"Founder, Yourlivingroomtrainer","Health, Wellness & Fitness",1-10 Employees,"Sheradan, Wyoming",
Mobile App Dev for Children's Entertainment Platform,Mobile App Development,"$10,000 to $49,999",May 2017 - Nov 2017,"SteelKiwi developed a parental-controlled entertainment app for iOS. They built a backend server and designed the apps UI. Features include a media catalog, personalized screen time, and content playlists.",Yasha Adamovski,"Founder, Jezter",Entertainment,1-10 Employees,Canada,
Mobile App Dev for Social Media Hashtag Platform,Mobile App Development,"$10,000 to $49,999",Apr. 2017 - Ongoing,Steelkiwi developed an app for iOS and Android. Their services are comprehensive to include everything from creating the illustrations and the logo to putting the app on the App Store.,Mary Boyagi,"Founder, Hashtag Hound",Internet,1-10 Employees,"New York, New York",
Site Modernization & API Dev for Computer Software Startup,Development,"$10,000 to $49,999",Jan. 2017 - Ongoing,SteelKiwicreated an API and redeveloped the backend framework of an existing web solution. The project team remains focused on feature enrichment as the launch deadline approaches.,None,"Co-Founder, Software Startup",Computer Software,11-50 Employees,"Denver, Colorado",
iOS Prototype Dev for App Startup,Mobile App Development,"$10,000 to $49,999",Nov. 2016 - Ongoing,"SteelKiwi first validated design specs and then prototyped the first iOS version of a travel app. Core features include account creation using social media, geo-pinning, and image sharing.",Milena Cetkovic,"Founder, AppLab",Internet,1-10 Employees,Italy,
iOS Prototype Dev for Photography Business,Mobile App Development,Confidential,July 2016 - Ongoing,SteelKiwi built an app meant to curate and assess professional photography. Theyprototyped the iOS version first and remain focused on its improvement before they develop the Android counterpart.,None,"Founder & CEO, Media Statup",Photography,1-10 Employees,"San Diego, California",
Developed iOS Prototype for B2C Startup,Mobile App Development,Confidential,Sept. 2016 - Jan. 2017,Steelkiwi prototyped a B2C marketplace for iOS devices. The project team used existing wireframesto build the functional version and their performance could result in further involvement.,None,"Co-Founder, App Startup",Information Technology,1-10 Employees,"Geneva, Switzerland",
Mobile App Dev for Data Science Clinic,Mobile App Development,"$1,000,000 - $9,999,999",2016 - Ongoing,"WillowTree, Inc created a file and data sharing app to increase employee productivity when working remotely. The app addresses employee concerns, includes a scanning function, and connects to master servers.",None,"IT Director, Data Science Company",Hospital & Health Care,"10,000+ Employees","Durham, North Carolina",
Web & Mobile Development for Retail Chain,Mobile App Development,"$200,000 to $999,999",Dec. 2015 - Ongoing,"WillowTree provided development and UX design services for a retailer, which included both their primary website as well as Android and iOS apps.",None,"Business Systems Analyst, Retail Chain",Retail,"1,001-5,000 Employees","Arlington, Virginia",
App Maintenance and Dev for Regal Cinemas,Development,"$1,000,000 - $9,999,999",None,"WillowTree initially maintained the existing codebase of an app built by another vendor.Since then, they've rebuilt the backend, integrated a loyalty program, and added ticketing functionalities.",None,"Vice President, Regal Cinemas",Entertainment,"10,001+ Employees","Knoxville, Tennessee",
