Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location
Prototype Dev for International Trade & Visa Firm,Custom Software Development,"$10,000 to $49,999",Apr. 2015 - Ongoing,"IT Craft took a preconceived frontend mockup and then developed a website to process travel visas. Having launched the site, the project team now implements new features and provides support.",Keith de Saram,"Business Development Manager, KES Visa & Legalization",Import & Export,11-50 Employees,"Hague, Netherlands"
Web Development for Graphic Design Marketplace,Web Development,"$50,000 to $199,999",Feb. 2008 - Dec. 2011,"IT Craft used supplied mockups to develop/implement a functional version of a newly conceived brand marketplace, which caters exclusively to designers.",Wes Wilson,"Former Founder, Graphic Design Marketplace",Marketing & Advertising,1-10 employees,"San Antonio, Texas"
Custom PHP Development for Technology Company,Custom Software Development,"$200,000 to $999,999",July 2014 - Ongoing,"IT Craft supports Endurant with development projects. Since the partnership began, they have built open-source CRM infrastructure, custom mobile apps, and a responsive web application.",None,"Director of Information Services, Endurant",IT Services,1-10 Employees,United States
Mobile Design for E-Learning Marketplace,UI/UX Design,"$50,000 to $199,999",Oct. 2017 - Mar. 2018,"Dogtown Media summarized internal research and prepared mobile designs to improve the user flow of existing Android and iOS apps, developing a prototype for user testing.",Kristin Yamauchi,"Product Manager, Udemy",E-Learning,201-500 Employees,"San Francisco, California "
Dev for Emergency Medical Communications App,Mobile App Development,"$10,000 to $49,999",May 2016 - October 2017,Dogtown Media built an iOS and Android app to store constantly updating content. A new version with added features followed the initial launch. Features with even higher intricacies are likely for the third iteration. ,Mark Ebeling,"Manager, Minneapolis Heart Institute",Healthcare,51-200 Employees,"Minneapolis, Minnesota"
UI/UX Mobile App Design for Military Gear Manufacturer,Mobile App Development,"$10,000 to $49,999",May 2017 - Ongoing,"Dogtown is developing an Android app optimized for Galaxy S5 and Note 5 devices that improves Share Pack experience. Services include wireframe and design, end-user testing, and UI/UX enhancements.",Parker Donaldson,"Product Manager, Revision Military",Military,201-500 Employees,"Montreal, Canada"
Mobile App Prototype for Caregiving Platform,Mobile App Development,"$10,000 to $49,999",Nov. 2016 - Ongoing,"Dogtown is developing a mobile app prototype, while also providing marketing strategies in preparation for investment pitching. They will continue their partnership through the final development stages.",None,"Founder, Caregiver App",Health Care,1-10 Employees,"San Diego, California"
Mobile App Prototype for Social Platform,Mobile App Development,"$10,000 to $49,999",May - July 2017,Dogtown Media developed and designed the prototype for a social activity and event sharing mobile app and interconnected web platform.,None,"Co-Founder, Social Platform",Internet,1-10 Employees,"Los Angeles, California"
Dev of Breast Cancer Screening App ,Mobile App Development,"$10,000 to $49,999",Jan. 2017 - Ongoining,"Building an iOS and Android app, Dogtown Media is in the first round of dev that will include a calendar, push notifications, location-services, and other features. Later versions will have global additions.",Corrine Ellsworth-Beaumont ,"CEO, Worldwide Breast Cancer","Health, Wellness and Fitness ",1-10 Employees," Lewisville, ID "
iOS Dev of Apparel Sales App,Mobile App Development,"$10,000 to $49,999",Dec. 2016 - Jan. 2017,"DogTownMedia produced a sales platform prototype. When completed, the iOS app will improve ease of access for customers and consultants.",None,"Owner, Fashion Retailer",Apparel & Fashion,1001- 5000 Employees,Los Angeles Metro Area
Design & Dev for Emergency Notification Mobile App,Mobile App Development,Confidential,Aug. 2017 - Ongoing,Dogtown Media led design and development of a cross-platform mobile app after the initial version was lost. They worked based off of old existing screenshots to recreate and enhance the original app.,Christine Calderon,"President, When Georgia Smiled: The Robin McGraw Revelation",Non-Profit,1-10 Employees,"Los Angeles, California"
App Development for Information Sharing Startup,Mobile App Development,"$50,000 to $199,999",None,"Throughout the wireframing, front-end user interface design and the back-end coding, Dogtown Media was involved with the entire process of developing a mobile application for the clients peer-to-peer information sharing platform.",Mousa Hamad,"CTO, emntr, Inc.",Information Technology,1-10 employees,"Seattle, WA"
Mobile Mockup Project for Social Startup,Mobile App Development,Confidential,None,"Dogtown Media contributedto a startup's by designingtheir prototype screens, wireframes, mockups, UI fluidity, graphic design, and WordPress site development.",None,"Founder, Social Startup",Social,Freelancer,"Houston, Texas"
Mobile App Dev for Financial Services Company,Mobile App Development,"$10,000 to $49,999",2017 - Ongoing,"Applaudo Studios is developing a mobile app for iOS and Android. It disseminates financial planning resources for individuals, families, companies, and schools at a larger scale than manually possible.",None,"CEO, Financial Services Firm",Financial services,1-10 Employees,"San Salvador, El Salvador"
Web App Dev for Operations Solutions Company,Web Development,Confidential,2017 - Ongoing,Applaudo Studio is helping to develop a custom web application for both office and field use. They use Python.Net and Angular and are handling QA.,None,"CEO, Development Company ",Information technology,1-10 Employees,Information technology
Mobile App Dev for Airline Customer Loyalty Program,Mobile App Development,Confidential,2018 - Ongoing,"Applaudo is providing mobile application development services, working on an iOS and Android platform. They update the programming language and work on the frontend.",None,"Strategy and BD Manager, Airline Customer Loyalty Program",Airlines,200 - 500 Employees,"San Salvador, El Salvador"
Game Redesign for Concussion App Company,Mobile App Development,"$10,000 to $49,999",Apr. 2017 - Ongoing,Applaudo Studios built a mobile app that allowed users to test for concussions. This involved revamping the app's design while also refining the performance and security. Theyre currently working on a website.,None,"Lead Designer, Concussion App",Information Technology ,1-10 Employees,"San Francisco, California"
Multiple Mobile Developments for Mobile Platform Development Agency,Mobile App Development,"$1,000,000 - $9,999,999",2015 - Ongoing,"Applaudo offers staff augmentation to a mobile product and services company for native development on iOS and Android platforms and mobile products. They also do QA, web development, backend, and server work.",Jeff Dickey,"VP, Operations and Fulfillment, Phunware, Inc. ",Information technology ,11- 50 Employees,"Austin, Texas"
Branding & Design for Healthcare Manufacturer,Branding,"Less than $10,000",Feb. - Apr. 2018,"Applaudo conceptualized the visual identity of a new product line. They designed the fonts, color palette, and other branding materials.",None,"CEO, Medical Manufacturer",Healthcare Manufacturing,11-50 Employees,"Lafayette, Colorado"
iOS Development for Social Networking App,Mobile App Development,"$10,000 to $49,999",Feb. 2015 - Dec. 2016,An entrepreneur created a professional networking app for strangers to meet up without exchanging personal details.,Aleeta Bell,"Founder, Pluhg",IT Services,Startup,New York Metro Area
Fan Engagement App for Pro Soccer Team,Mobile App Development,"$50,000 to $199,999",None,"Applaudo is developing an application which allows fans to keep on top of the latest updates about a professional soccer club. The app features information such as standings, rosters, and history, among others.",Carlos Herrera,"Community Liaison, FC Edmonton",Sports,11-50 Employees,"Edmonton, Canada"
Web and Mobile Development for Digital City Guide,Mobile App Development,"$50,000 to $199,999",July 2016 - Ongoing,Applaudo is simultaneously performing web and mobile development for Android and iOS of a travel app. The product will allow users to book accommodations and make travel and leisure plans in featured locations.,Fausto Funes,"Founder, Expres Citi",Tourism,1-10 Employees,El Salvador
App Development for Large Beverage Company,Development,"$10,000 to $49,999",None,"Applaudo Studios developed a pilot mobile app to ease the order-entry process of customers and ensure they received the order they requested. They built it to be similar to Amazon, but on a much smaller level.",None,"Head of Commercial Capabilities, Large Beverage Company",Food & Beverage,"10,001+ Employees",Latin America
Ruby on Rails Web Redesign for Educational Nonprofit,Web design,"$200,000 to $999,999",Jan. - Aug. 2016,"Mobomo built a customized CMS with Spree analytics, allowing for easy future adjustments. They designed the pages, including the online shop and dashboard. They did SEO work and currently maintain the site.",None,"Website Project Manager, Nonprofit",Education Management,201 - 500 Employees,"Washington, DC"
Modernized Financial Calculator for NGO,Custom Software Development,Confidential,Feb. 2017 - Ongoing,"Mobomo redeveloped a complexasset & budget calculator. They focused on basic requirements for an initial launch, and continue enhancing the solution's core features.",Amber Oar,"Program Analyst, Center for Strategic and Budgetary Assessments",Defense & Space,11-50 Employees,"Washington, DC"
Site Redevelopment for Financial Advisory Firm,Web Development,Confidential,Apr. 2017 - Ongoing,Mobomo is replacing an old Weebly site with a completely redesigned one. The new website is being built with theexpress purpose of creating a better UX and appealing more favorably to new business.,None,Founder,Advisory ,1-10 Employees,Washington DC Metro Area
Enterprise Grade iOS Dev for Nonprofit ,Mobile App Development,"$200,000 to $999,999",Nov. 2016 - Ongoing,"Mobomo developed a turnkey cross-platform app for military service members to easily utilize nearby nonprofit centers. Key features facilitate check-in, communication, info-sharing, and GPS.",None,"Former Director, Technology Innovation",Military,51-200 Employees,"Washington, DC"
iOS & Android Dev for Fitness Startup,Development,"$50,000 to $199,999",2015 - 2016,Mobomo redeveloped an existing personal fitness app for iOS/Android. The assigned project team improved the solution's functional backend and also redesigned its user interface.,Kwame Dankwah,"Founder & CEO, Ultra Fitness","Health, Wellness & Fitness",1-10 Employees,"London, United Kingdom"
Subcontracted Dev Project for Government Contractor,Mobile App Development,Confidential,July 2015 - Ongoing,Mobomo's subcontracted team first resolved bugs in an existing healthcare app [iOS/Android] sanctioned by the CDC. The project now includes new features and design enhancements.,None,"Sr. Director, Government Contractor",Healthcare & Medicine ,201-500 Employees,"Silverspring, Maryland"
Front-end Development Nonprofit Think Tank,Web Development,"$50,000 to $199,999",None,"Mobomo redesigned a public policy group's website to better suit its growing user base. The new design was more robust, responsive, and mobile-friendly.",None,"Research Fellow & Web Editor, Nonprofit Think Tank","Nonprofit, Think Tank",51-200 Employees,"Washington, DC"
Custom RAILS Development for Nonprofit Research Institute,Web Development,Confidential,Apr. 2012 - Ongoing,Mobomo designed and developed the a research organization'scustom website using Ruby on Rails. They continueto maintain and update the site.,None,"Digital Project Manager, Nonprofit Research Institute","Nonprofit, Research",51-200 Employees,"Washington, DC"
Custom iOS Application for Management Consultancy,Custom Software Development,"$50,000 to $199,999",None,Mobomo developed two custom iOS applications for the Efiia Group. One application was a limited version of the full-feature application.,None,"Managing Partner, The Efiia Group",Information Technology and Services,11-50 Employees,"Washington, DC"
Custom Application Development for Information Technology Firm,Mobile App Development,"$10,000 to $49,999",July 2013 - Apr. 2014,"Mobomo developed a custom website, iOS and Android applications, and a marketing site for 3Wired Group.",Lou Aronson,"CEO & Founder, Discourse Analytics",Internet,1-10 Employees,"Washington, DC"
SEO & PPC for Hair Transplant Service,SEO & PPC,Confidential,2015 - 2016,"Provided with data on business leads, Wildnet Technologies generated over 100 keywords and phrases using SEO best practices. They also provided a system to integrate the keywords and provided content.",None,"Patient Advisor, Advanced Hair Transplants","Health, Wellness & Fitness",1-10 Employees,"Las Vegas, Nevada"
SEO Services for Advertising Agency,SEO & PPC,"$10,000 to $49,999",2013 - Ongoing ,"Wildnet Technologies provides SEO services for an advertising agency, working to increase the brands exposure. They optimized the site, write content, and provided social media advice.",None,"Founder, Advertising Agency",Marketing & Advertising,1-10 Employees,Malaysia
SEO for a Natural Health Supply Company,SEO & PPC,"Less than $10,000",Feb. 2016 - Ongoing,Wildnet Technologies targets web traffic to increase online sales as well asposting regularly scheduled monthly content to Facebook. Aggregated data analytics reports give insight into Google rankings and SEO.,Ray Noronha,"Owner, Health Supply Company",Healthcare,None,None
Digital Marketing & Content Writing for Healthcare Law Firm,Digital Marketing,Confidential,2013 - Ongoing,"Wildnet Technologies executes a legal firms branding and digital marketing. Services include blogging, social media management, and SEO strategy. Industry-specific liability demands close attention to detail.",None,"Attorney, Haber's Law",Legal Services,1-10 Employees,"Boyd, Maryland"
"SEO, PPC & SMM for Optical Wholesaler ",SEO & PPC,"$10,000 to $49,999",2015 - Ongoing,"Wildnet provides SEO, PPC, and social media marketing services, including ads and content for Facebook, Instagram, and Twitter.",None,"CEO, Optical Wholesaler ",Retail,1-10 Employees,Oregon
SEO & Content Creation for Welding Rental Service,SEO & PPC,Confidential,2013 - Ongoing,"Wildnet provides both technical and marketing SEO services for concurrent campaigns, focusing on offpage principles. They also do digital content creation as well as curation.",None,"Senior Marketing Manager, Welding Rental Service",Construction,501-1000 Employees,Canada
Mobile App Dev & Testing for Healthcare Organization,Mobile App Development,"$10,000 to $49,999",June - Dec. 2017,"Wildnet was responsible for the technical architecture, design, and testing of an iOS and Android app that connects medical practitioners with patients. Theyre currently assisting with app enhancements.",None,"Co-founder, Healthcare Organization",Hospital & Health Care,11-50 Employees,United Kingdom
iOS & Android App Dev for Insurance Group,Mobile App Development,Confidential,Sept. 2017 - Ongoing,Wildnet is developing an insurance app designed to better reach out to customers. The team's focus is on building modules that are compatible for both iOS and Android.,None,"Director, Insurance Group",Insurance,11-50 Employees,New York
Multiple Mobile App Dev for Consulting Firm,Mobile App Development,"$50,000 to $199,999",Sept. 2017 - Ongoing,Wildnet developed and designed eight Web TV apps built for both iOS and Android. The products are currently being beta tested.,Ryan Park,"Director of Tech Solutions, WNT Web Services",Business Services,11-50 Employees,New York
Enterprise App Dev for Consulting Services,Mobile App Development,"$10,000 to $49,999",2016 - Jan. 2017,Wildnet built an enterprise app compatible with Android and iOS systems that standardizes corporate billing processes. Positive feedback resulted in plans to develop a second app. ,Shawn Taylor,"Head of Marketing, PPC White Label",Business Services,11-50 Employees,New York
iOS and Android App Development for Business Social Platform,Mobile App Development,"$10,000 to $49,999",Sept. 2017 - May 2018,Dev Technosys developed a social media mobile app for iOS and Android that helps people share their contacts through a card system. They handled all the documentation and provide ongoing SEO.,Alex Carter,"COM, MetKnow",Computer Software,1-10 Employees,"St. Louis, Missouri"
Web Development and Integrations for E-Book Creation Site,Web Development,"$10,000 to $49,999",Jun. 2017 - Ongoing,"Dev Technosys has built a mobile and web app similar to Canva. The web app has an e-commerce component with a payment integration. Features include login, support, contact.",None,"Owner, E-Book Creation Site",E-Learning,1-10 Employees,Serbia
Web Development for Freelance Work Platform,Web Development,"$10,000 to $49,999",Jan. 2018 - Ongoing,"Dev Technosys is building a freelancer-employer matching platform that featured multiple payment gateways and extensive automation. After the platform is finished, they will develop corresponding mobile apps.",Eimantas Sakalauskas,"Owner, One Day Boss",Information Technology and Services,1-10 Employees,"Hampton Bays, New York"
Online Consultation Solution for Healthcare Startup,Web Development,"$10,000 to $49,999",Sept. 2017 - Ongoing,"DevTechnosys developed an on-demand medical consultation platform with video and audio calling. Designed with two separate user interfaces, the multi-phased project also had to meet privacy certifications.
",None,"CTO, EH Solutions",Healthcare ,51-200 Employees,India
PHP Development for Bespoke E-commerce Site,E-commerce Development,"$10,000 to $49,999",Oct. 2017 - Apr. 2018,"DevTechnosys rebuilt an e-commerce platform in PHP, integrating new functionalities in a bespoke manner.",Ben Peterson,"Founder, Shopp'n'Ship",E-commerce,Sole Proprietor,"London, United Kingdom"
Development of Self Service Product Designer,Web Development,"$10,000 to $49,999",Sept. - Nov. 2017,"DevTechnosys designed and built a custom feature using PHP that allows users to design products by uploading photos, setting placement, and adding color schemes. They also created new pages to house the feature.",Shakil Prasla,"Founder, Uberpong",Leisure,1-10 Employees,"Austin, Texas"
E-commerce Development for Vendor Platform,E-commerce Development,"Less than $10,000",Aug. 2017 - Jan. 2018,DevTechnosys built an online marketplace with tools for both vendors and customers. They streamlined a number of backend processes and enhanced UX/UI.,None,"Director, MultyCompras",E-commerce,1-10 Employees,"Manchester, United Kingdom"
Web Dev for Online Health Care Platform,Web Development,"$10,000 to $49,999",June 2017 - Jan. 2018,"DevTechnosys developed a web platform from start to finish. They provided wireframes, designers, developers, and various analysts (e.g., QA, BA). Features include API integration, screensharing, and chat.",None,"Founder, Health Care Tech Startup",Health Care,None,"Philadelphia, Pennsylvania"
Development for Healthcare Platform Startup,Development,"Less than $10,000",July 2017 - Jan. 2018,"DevTech built a web and mobile healthcare platform that features doctor and patient profiles. Using LAMP coding, they developed the entire platform, including an administrative side to approve profiles.",None,"Founder, Konsulto","Health, Wellness & Fitness",1-10 Employees,Dominican Republic
Website Mockups for Startup Seeking Funding,UI/UX Design,"Less than $10,000",Nov. 2016 - Dec. 2017,"DevTechnosys developed website mockups for a startup company seeking funding for its web and mobile application. Using Photoshop, they followed the provided specifications to put together the applications screens.",None,"Founder, Street Artist Social Network",Arts & Entertainment,Sole Proprietor,"Zurich, Switzerland"
Mobile App Dev for Online Form Solution Company,Mobile App Development,"$50,000 to $199,999", 2016 - Ongoing ,"Appchance worked on iOS and Android apps after another vendor didnt complete the project. They utilize the latest technologies and continually develop new features, as well as manage updates.",Rebecca Doyle,"Founder, Launchcloud ",Information technology ,None,UK
Mobile App Development for Cultural Heritage Foundation ,Mobile App Development,"$50,000 to $199,999",2014 - Ongoing,Appchance developed an iOS and Android app for a heritage foundation. The app uses image recognition technology to identify paintings on a database of Polish war losses.,None,"Board Member, Cultural Heritage Foundation",Nonprofit ,1-10 Employees,"Warsaw, Poland"
iOS & Android App Dev for Yatch Booking Mobile App Company,Mobile App Development,"$50,000 to $199,999",None,"Appchance developed an iOS and Android app to help sailors in Southern Europe book marina reservations via mobile, eliminating the need to visit locations in person.",Micha Sykulski,"CEO, Lookmarina.com",Information Technology ,1-10 Employees,Croatia
Android App Dev for Confectionery Producer,Mobile App Development,"$10,000 to $49,999",2016 - 2018,"Appchance developed an Android app that inventories products by type and location, maintaining quantities and preventing overproduction.",None,"Merchandising Development Manager, Confectionery Producer",Consumer Products,200 - 500 Employees,"Poznan, Poland"
Android App Development for Entertainment Website,Mobile App Development,"$10,000 to $49,999",2013 - 2016,"Appchance worked on multiple development projects for a large publishing website. They built six Android applications, focusing on the look, design, and graphics, as well as programming.",Mariusz Skadanowski,"CEO, MMG.pl",Entertainment ,11-50 Employees,"Pruszcz Gdaski, Poland"
Mobile App Dev for Online Market Platform,Mobile App Development,"$50,000 to $199,999",2015 - Ongoing,Appchance built a classified advertisementapplication for iOS and Android. The platform allowed downloaders to post ads and chat with other users.,None,"Project Manager, Myphsar",Internet,11-50 Employees,Cambodia
iOS & Android App Dev for Athletic Service,Mobile App Development,"$50,000 to $199,999",Apr. 2017 - Ongoing,"Appchance built from scratch a mobile app that allows athletes to connect at any time and any location. The app is compatible with iOS, and the efforts are now focused on developing the Android version.",None,"CEO, Sports Service",Sports,1-10 Employees,"Berlin, Germany"
Mobile App Dev for Content Intelligence SaaS Company,Mobile App Development,"$50,000 to $199,999",2015 - 2016,Appchance worked on the re-architecture of an iOS mobile application for this content intelligence platform that provides a collaboration and data sharing space for enterprises.,None,"Director of Engineering, Egnyte",Computer Software,201-500 Employees,"Poznan, Poland"
Mobile App Dev for Travel Company,Mobile App Development,"$50,000 to $199,999",2015 - 2016,Appchance assisted the company in achieving its goals by developing a mobile application that can improve the hosts-guests connection and market the services of the travel agency.,None,"CEO, Travel Company",Hospitality & Leisure,1-10 Employees,Poland
Mobile App Development for Tourism Company,Mobile App Development,"$50,000 to $199,999",Apr. 2016 - Ongoing ,"Appchance is developing an Android application that can connect and provide information to its users regarding events, entertainment, dining, and more. ",None,Founder,Hospitality & Leisure,1-10 Employees,"New York, New York"
Mobile App Dev for Data Science Clinic,Mobile App Development,"$1,000,000 - $9,999,999",2016 - Ongoing,"WillowTree, Inc created a file and data sharing app to increase employee productivity when working remotely. The app addresses employee concerns, includes a scanning function, and connects to master servers.",None,"IT Director, Data Science Company",Hospital & Health Care,"10,000+ Employees","Durham, North Carolina"
Web & Mobile Development for Retail Chain,Mobile App Development,"$200,000 to $999,999",Dec. 2015 - Ongoing,"WillowTree provided development and UX design services for a retailer, which included both their primary website as well as Android and iOS apps.",None,"Business Systems Analyst, Retail Chain",Retail,"1,001-5,000 Employees","Arlington, Virginia"
App Maintenance and Dev for Regal Cinemas,Development,"$1,000,000 - $9,999,999",None,"WillowTree initially maintained the existing codebase of an app built by another vendor.Since then, they've rebuilt the backend, integrated a loyalty program, and added ticketing functionalities.",None,"Vice President, Regal Cinemas",Entertainment,"10,001+ Employees","Knoxville, Tennessee"
Mobile Dev for Well-Known IT Services Provider,Development,"$50,000 to $199,999",None,"WillowTree's team of two designers, a developer, a QA tester, a PM and an intern took a prototype and built a native iOS app to solve reporting issues the client was facing internally.",None,"Sr. Director Enterprise Applications, IT Company ",Consumer Electronics,1001 - 5000 Employees,"San Francisco, California"
Android/iOS Development for Online Marketplace ,Development,"$200,000 to $999,999",None,"WillowTree provided UI/UX design for the mobile web and app development for iOS and Android.On an ongoing and regular basis, WillowTree is brought in to enhance the appsand design.",None,"Director of Engineering, Online Marketplace",Internet,11-50 Employees,"Atlanta, Georgia"
Development of Customer-Facing Website for Nonprofit,UI/UX Design,"$200,000 to $999,999",None,"WillowTree created a custom customer-facing responsive website, for desktops and mobile devices. They designed the look and feel andarticulated a value proposition to end-customers.",Donna Tally,"Director, NeighborWorks America",Nonprofit,501 - 1001 Employees,"Washington, DC"
Financial Services App Development for Credit Union,Development,Confidential,None,WillowTree supported the move from an out-of-the-box platform to a Xamarin-built solution accessible on iOS and Android. They lead the frontend design while the client focused on the backend.,None,"Program Manager, Credit Union",Financial Services,201 - 500 Employees,"Chicago, Illinois"
App Design and UX Strategy for Financial Services Firm,Development,"$50,000 to $199,999",None,WillowTree delivered native roadmaps for both iOS and Android. The app will be completed in-house but WillowTree lead the charge on performing customer research and designing the UX.,Junie Kim,"Digital Lead, Synchrony Financial",Financial Services,"5001-10,000 Employees","Stamford, Connecticut"
iOS Application for Large Energy Solutions Provider,Development,"$200,000 to $999,999",None,WillowTree developed and designed an iOSapp that is programmed to run on Macs in kiosk-like mode. The app acts like a giant tablet for customers at fueling stations.,None,"Engineering Director, Energy Solutions Company",Energy,501 - 1001 Employees,"Austin, Texas"
App Development for Large Hotel Chain,Mobile App Development,"$200,000 to $999,999",None,"Over the 6 month partnership, WillowTree delivered both a native iOS and Android app for this global chain.",None,"Senior Manager, Hotel Chain",Hospitality,1001 - 5000 Employees,"New York, New York"
iOS and Android App Dev for Restaurant Reservations,Mobile App Development,"$200,000 to $999,999",Aug. 2017 - Apr. 2018,"Raizlabs transformed iOS and Android app prototypes into final products. Based on maps, they integratedfeatures like in-app purchases, developed locationintegrations, and created a social network component.",Robert Welch,"Co-Founder, Spinz, LLC",Advertising and Marketing ,1-10 Employees,"Bakersfield, CA"
Dev of Real-Time Mobile Fundraising & Activity Tracking App,Mobile App Development,"$200,000 to $999,999",May 2017 - Mar. 2018,Raizlabs currently works on the design and development of an app that will turn the tracked activity of a sport into money for funding cancer research. Theyre also in charge of the backend and website.,Wes Sims,"Head of Product, Pulll (by Pelotonia)",Nonprofit,11-50 Employees,"Columbus, Ohio"
App Design & Implementation for Insurance Company,Mobile App Development,"$200,000 to $999,999",Apr. 2017 - Mar. 2018,"Raizlabs redesigned and rebuilt a mobile app used by millions of customers. Their goals were to create a more efficient system, improve user satisfaction, and maximize channel conversions.",None,"Mobile Product Manager, Fortune 100 Insurance Carrier",Financial Services,"10,001+ Employees",United States
Mobile App Dev for Global Retailer,Mobile App Development,Confidential,Apr. 2014 - Aug. 2015,Raizlabs developed a native iOS and Android app for large-scale retail customer use. They also assisted with finding keywords and launching both apps to the App Store and Google Play.,None,"Mobile Manager, Global Retailer",Retail,"10,000+ Employees","Seattle, Washington"
