Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone,
INLOOPX," $5,000+ ",5,$100 - $149,"""50 - 249""","Sunnyvale,",CA,https://clutch.co/profile/inloopx,https://www.inloopx.com,projects@inloopx.com,"
 ",
Majestyk ," $25,000+ ",4.9,$100 - $149,"""10 - 49""","New York,",NY,https://clutch.co/profile/majestyk,http://majestykapps.com/,info@majestykapps.com,"
(646) 694-2616 ",
Dogtown Media ," $25,000+ ",4.9,$100 - $149,"""10 - 49""","Venice Beach,",CA,https://clutch.co/profile/dogtown-media,https://www.dogtownmedia.com,contact@dogtownmedia.com,"
(888) 814-7010 ",
Infinum," $10,000+ ",4.8,$100 - $149,"""50 - 249""","New York City,",NY,https://clutch.co/profile/infinum,https://infinum.co/,hello@infinum.co,"
+1 (917) 838-2194 ",
The BHW Group," $25,000+ ",5,$50 - $99,"""10 - 49""","Austin,",TX,https://clutch.co/profile/bhw-group,https://thebhwgroup.com,bhwinfo@thebhwgroup.com,"
512.220.0035 ",
Softeq ," $25,000+ ",4.9,$50 - $99,"""50 - 249""","Houston,",TX,https://clutch.co/profile/softeq,http://softeq.com,info@softeq.com,"
281.552.5000 ",
Blue Whale Apps," $10,000+ ",5,$100 - $149,"""10 - 49""","Boca Raton,",FL,https://clutch.co/profile/blue-whale-apps,http://www.bluewhaleapps.com/?utm_source=sourcingline&utm_medium=cpc&utm_campaign=SL,pathik@bluewhaleapps.com,"
561.753.0776 ",
Touch Instinct," $25,000+ ",4.9,$25 - $49,"""50 - 249""","St Petersburg,",None,https://clutch.co/profile/touch-instinct,http://touchinstinct.com/,hello+clutch@touchinstinct.com,"
+7.812.389.56.20 ",
Eight Bit Studios," $25,000+ ",4.9,$150 - $199,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/eight-bit-studios,http://eightbitstudios.com,info@eightbitstudios.com,"
312.281.8823 ",
Yalantis," $25,000+ ",4.7,$25 - $49,"""50 - 249""","Dnipro,",None,https://clutch.co/profile/yalantis,https://yalantis.com/,hello@yalantis.com,"
 ",
Saffron Tech," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Newark,",NJ,https://clutch.co/profile/saffron-tech,https://www.saffrontech.net/services/mobile-application-development,sales@saffrontech.net,"
(315) 642-4730 ",
Hyperlink InfoSystem," $10,000+ ",4.9,< $25,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/hyperlink-infosystem,https://www.hyperlinkinfosystem.com/,info@hyperlinkinfosystem.com,"
+91.8000.161.161 ",
Shakuro," $10,000+ ",4.9,$25 - $49,"""10 - 49""","Newark,",DE,https://clutch.co/profile/shakuro,https://shakuro.com,hello@shakuro.com,"
+1 646 712 9918 ",
Innofied Solution ," $25,000+ ",5,$50 - $99,"""50 - 249""","Santa Clara,",CA,https://clutch.co/profile/innofied-solution,https://www.innofied.com,business@innofied.com,"
+1.866.941.5117 ",
Five ," $10,000+ ",4.8,$100 - $149,"""50 - 249""","New York,",NY,https://clutch.co/profile/five,https://goo.gl/E5TlXq,info@five.agency,"
(475) 222-3202 ",
Reinvently," $25,000+ ",4.9,$50 - $99,"""10 - 49""","Palo Alto,",CA,https://clutch.co/profile/reinvently,http://reinvently.com/iphone-app-development/,hello@reinvently.com,"
877.951.2224 ",
Ready4S," $10,000+ ",4.9,$25 - $49,"""10 - 49""","Cracow,",None,https://clutch.co/profile/ready4s,http://www.ready4s.com/?utm_source=Clutch&utm_medium=link&utm_campaign=Clutch,apps@ready4s.com,"
+48 12 307 15 14 ",
IDAP," $10,000+ ",4.9,$25 - $49,"""50 - 249""","Kyiv,",None,https://clutch.co/profile/idap,http://www.idapgroup.com/?utm_medium=clutch&utm_campaign=main-link&utm_source=aggregator,marketing@idapgroup.com,"
+38 095 0000 623 ",
10Pearls, Undisclosed,4.9,None,"""250 - 999""","Vienna,",VA,https://clutch.co/profile/10pearls,http://www.10pearls.com,info@10pearls.com,"
(703) 935-1919 ",
111 Minutes," $10,000+ ",4.9,$25 - $49,"""50 - 249""","Glasgow,",None,https://clutch.co/profile/111-minutes,http://www.111minutes.com,sales@111minutes.com,"
 ",
Octal IT Solution," $5,000+ ",4.8,$25 - $49,"""250 - 999""","Jaipur,",None,https://clutch.co/profile/octal-it-solution,https://www.octalsoftware.com/mobile-app-development?utm_source=clutch.co&utm_medium=paidlink&utm_campaign=clutchpro,enquiry@octalsoftware.com,"
91.14.1252.5810 ",
OpenXcell," $10,000+ ",4.8,< $25,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/openxcell,https://www.openxcell.com,sales@openxcellinc.com,"
+1-888-777-4629 ",
Swenson He," $25,000+ ",5,$150 - $199,"""10 - 49""","Marina del Rey,",CA,https://clutch.co/profile/swenson-he,http://www.swensonhe.com,info@swensonhe.com,"
424.465.2525 ",
iteo," $10,000+ ",4.9,$50 - $99,"""50 - 249""","Katowice,",None,https://clutch.co/profile/iteo-mobile,https://iteo.com/,hello@iteo.com,"
+48 601 285 155 ",
14 Oranges Software ," $10,000+ ",4.9,$100 - $149,"""10 - 49""","Richmond,",None,https://clutch.co/profile/14-oranges-software,http://www.14oranges.com,sales@14oranges.com,"
604.304.0020 ",
Fuzz," $50,000+ ",4.8,$150 - $199,"""50 - 249""","Brooklyn,",NY,https://clutch.co/profile/fuzz,http://fuzzpro.com,hello@fuzzproductions.com,"
212.219.7696 ",
Cleveroad," $10,000+ ",5,$25 - $49,"""50 - 249""","Dnipro,",None,https://clutch.co/profile/cleveroad,https://www.cleveroad.com/clutch-offer,sales@cleveroad.com,"
+380.66.489.6889 ",
App Partner," $25,000+ ",5,$100 - $149,"""10 - 49""","Brooklyn,",NY,https://clutch.co/profile/app-partner,http://www.AppPartner.com?pi_campaign_id=2293,Marketing@AppPartner.com,"
212.913.9626 ",
FreshWorks Studio," $50,000+ ",4.7,$50 - $99,"""10 - 49""","Victoria,",None,https://clutch.co/profile/freshworks-studio,http://www.freshworks.io/,clutch@freshworks.io,"
(250) 412-3470 ",
Red Foundry," $25,000+ ",4.8,$150 - $199,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/red-foundry,http://www.redfoundry.com/,sales@redfoundry.com,"
888.406.1099 ",
Techugo ," $5,000+ ",4.8,< $25,"""50 - 249""","Noida,",None,https://clutch.co/profile/techugo,http://www.techugo.com/,sales@techugo.com,"
+91 7042209821 ",
Distillery," $50,000+ ",5,$100 - $149,"""50 - 249""","Santa Monica,",CA,https://clutch.co/profile/distillery,https://distillery.com/,hello@distillery.com,"
310-776-6234 ",
CrossComm," $25,000+ ",4.8,$150 - $199,"""10 - 49""","Durham,",NC,https://clutch.co/profile/crosscomm,http://www.crosscomm.net,hello@crosscomm.net,"
 ",
Worry Free Labs," $25,000+ ",4.9,$100 - $149,"""50 - 249""","New York,",NY,https://clutch.co/profile/worry-free-labs,http://worryfreelabs.com,hello@worryfreelabs.com,"
646.741.5006 ",
Big Nerd Ranch," $10,000+ ",5,$150 - $199,"""50 - 249""","Atlanta,",GA,https://clutch.co/profile/big-nerd-ranch,https://www.bignerdranch.com/,hello@bignerdranch.com,"
770.817.6373 ",
Digital Brand Group," $10,000+ ",5,$50 - $99,"""10 - 49""","Irvine,",CA,https://clutch.co/profile/digital-brand-group,http://digitalbrandgroup.com,sales@digitalbrandgroup.com,"
888.690.0060 ",
MentorMate," $50,000+ ",4.7,$50 - $99,"""250 - 999""","Minneapolis,",MN,https://clutch.co/profile/mentormate,https://mentormate.com/?utm_source=clutch.co&utm_medium=bronze-sponsor&utm_campaign=clutch&utm_content=iphone-category,accelerate@mentormate.com,"
877.959.2390 ",
IndiaNIC Infotech Limited," $10,000+ ",5,< $25,"""250 - 999""","Beverly Hills,",CA,https://clutch.co/profile/indianic-infotech,https://www.indianic.com/?utm_campaign=Business-Directory&utm_source=Clutch,hello@indianic.com,"
+1 (408) 922 9083 ",
Mercury Development ," $10,000+ ",5,$50 - $99,"""50 - 249""","Miami,",FL,https://clutch.co/profile/mercury-development,http://www.mercdev.com/,michael@mercurydevelopment.com,"
917.470.1404 ",
Fayrix," $5,000+ ",4.9,< $25,"""1,000 - 9,999""","Pitu'akh,",None,https://clutch.co/profile/fayrix,http://www.fayrix.com/?utm_source=clutch,info@fayrix.com,"
+972 (9) 374-01-80 ",
SimbirSoft," $25,000+ ",4.9,$50 - $99,"""250 - 999""","Lexington,",None,https://clutch.co/profile/simbirsoft,https://www.simbirsoft.com/?utm_source=clutch,request@simbirsoft.com,"
+1 617 982 1723 ",
Small Planet Digital," $100,000+ ",4.8,$100 - $149,"""10 - 49""","New York,",NY,https://clutch.co/profile/small-planet-digital,http://smallplanet.com,hello@smallplanet.com,"
718.801.8230 ",
Arbisoft," $10,000+ ",4.9,$50 - $99,"""250 - 999""","Mckinney,",TX,https://clutch.co/profile/arbisoft,https://services.arbisoft.com/ios-app-development/?utm_source=clutch&utm_medium=clutch_sponsor&utm_campaign=Clutch-to-Arbi-iOS,contact@arbisoft.com,"
+1 (469) 215 2958 ",
Halcyon Mobile," $25,000+ ",4.9,$25 - $49,"""50 - 249""","Cluj Napoca,",None,https://clutch.co/profile/halcyon-mobile,http://halcyonmobile.com,hello@halcyonmobile.com,"
+40.770.686.492 ",
Peerbits," $5,000+ ",4.8,< $25,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/peerbits,http://www.peerbits.com/top-app-development-company.html,peerbits@gmail.com,"
877.707.0459 ",
Flexsin Inc.," $10,000+ ",4.4,$25 - $49,"""250 - 999""","Dallas,",TX,https://clutch.co/profile/flexsin,http://www.flexsin.com/,info@flexsin.com,"
+1-469-305-9770 ",
Impiger Technologies," $25,000+ ",5,$25 - $49,"""250 - 999""","Richardson,",TX,https://clutch.co/profile/impiger-technologies,http://www.impigertech.com,sales@impigertech.com,"
972.346.8186 ",
Brainvire Infotech Inc," $25,000+ ",4.8,$25 - $49,"""250 - 999""","South Jordan,",UT,https://clutch.co/profile/brainvire-infotech,https://www.brainvire.com,info@brainvire.com,"
+1-631-897-7276 ",
STRV," $10,000+ ",4.8,$100 - $149,"""50 - 249""","San Francisco,",CA,https://clutch.co/profile/strv,http://www.strv.com,hello@strv.com,"
 ",
Rantmedia," $25,000+ ",5,$50 - $99,"""10 - 49""","Cardiff,",None,https://clutch.co/profile/rantmedia,http://www.rantmedia.com,hello@rantmedia.com,"
+44 (0) 2920 399189 ",
Wizeline," $25,000+ ",4.7,$50 - $99,"""250 - 999""","San Francisco,",CA,https://clutch.co/profile/wizeline,http://www.wizeline.com,sales@wizeline.com,"
(415) 373-6365 ",
GBKSOFT," $25,000+ ",4.9,$25 - $49,"""50 - 249""","Kyiv,",None,https://clutch.co/profile/gbksoft,https://gbksoft.com/?utm_source=clutch&utm_medium=referral&utm_content=company-page,contact@gbksoft.com,"
+38 (063) 764 5845 ",
ORA," $25,000+ ",5,$100 - $149,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/ora,http://orainteractive.com/,hello@orainteractive.com,"
(312) 600-6023 ",
Cheesecake Labs," $10,000+ ",5,$50 - $99,"""50 - 249""","Florianopolis,",None,https://clutch.co/profile/cheesecake-labs,https://cheesecakelabs.com/?utm_source=clutch&utm_medium=listing&utm_campaign=clutch2017,contact@cheesecakelabs.com,"
+1 415 200-0090 ",
Gorilla Logic," $100,000+ ",4.9,$50 - $99,"""250 - 999""","Boulder,",CO,https://clutch.co/profile/gorilla-logic,http://gorillalogic.com?utm_campaign=Clutch&utm_source=Clutch,chris.johnson@gorillalogic.com,"
303-974-7088 ",
3Advance," $25,000+ ",5,$100 - $149,"""10 - 49""","Washington,",DC,https://clutch.co/profile/3advance,https://3advance.com/go/mobile,apps@3advance.com,"
202-709-3238 ",
TechAhead," $10,000+ ",4.6,$25 - $49,"""50 - 249""","Agoura Hills, Los Angeles,",CA,https://clutch.co/profile/techahead,http://www.techaheadcorp.com/,sales@techaheadcorp.com,"
+1 818-318-0727 ",
Stfalcon," $25,000+ ",5,$25 - $49,"""10 - 49""","Kyiv,",None,https://clutch.co/profile/stfalcon,https://stfalcon.com/,info@stfalcon.com,"
+38 067 3344040 ",
e-Legion," $25,000+ ",4.6,$25 - $49,"""50 - 249""","St Petersburg,",None,https://clutch.co/profile/e-legion,http://www.e-legion.com/,sales@e-legion.com,"
7.812.324.2724 ",
AppSquadz," $1,000+ ",4.7,< $25,"""50 - 249""","Noida,",None,https://clutch.co/profile/appsquadz,http://www.appsquadz.com,sales@appsquadz.com,"
+91-9717270746, +91-120-4238296 ",
Grio," $5,000+ ",5,$100 - $149,"""50 - 249""","San Francisco,",CA,https://clutch.co/profile/grio,https://grio.com/,info@grio.com,"
415.395.9525 ",
Codal," $10,000+ ",4.9,$100 - $149,"""50 - 249""","Chicago,",IL,https://clutch.co/profile/codal,https://www.codal.com,go@codal.com,"
312-663-8142 ",
July Rapid," $25,000+ ",4.5,$50 - $99,"""50 - 249""","San Francisco ,",CA,https://clutch.co/profile/july-rapid,https://julyrapid.com,info@julysystems.com,"
650.685.2460 ",
Clearbridge Mobile," $25,000+ ",4.7,$150 - $199,"""10 - 49""","Toronto,",None,https://clutch.co/profile/clearbridge-mobile,https://clearbridgemobile.com/canadas-top-mobile-app-development-firm/,clutch@clearbridgemobile.com,"
647.361.8401 ",
Wve Labs," $50,000+ ",5,$50 - $99,"""50 - 249""","Los Angeles,",CA,https://clutch.co/profile/wve-labs,http://www.wvelabs.com/?utm_source=clutch&utm_medium=profilebutton&utm_campaign=wveclutch,sales.usa@wvelabs.com,"
800.588.9094 ",
CodigoDelSur," $10,000+ ",4.8,$50 - $99,"""50 - 249""","Montevideo,",None,https://clutch.co/profile/codigodelsur,http://codigodelsur.com/,namarelle@codigodelsur.com,"
+598 23378873 ",
JatApp," $50,000+ ",5,$50 - $99,"""50 - 249""","Miami,",FL,https://clutch.co/profile/jatapp,http://jatapp.com/,support@jatapp.com,"
+1 415 9931 555 ",
Innovify," $25,000+ ",4.7,$25 - $49,"""50 - 249""","London,",None,https://clutch.co/profile/innovify,http://innovify.com/?utm_source=clutch&utm_medium=clutch_sponsor&utm_campaign=clutch,bdm@innovify.com,"
+44 2035 145388 ",
APPEK Mobile Apps, Undisclosed,4.9,$150 - $199,"""10 - 49""","Wilkes Barre,",PA,https://clutch.co/profile/appek-mobile-apps,https://appekapps.com/new-clutch/,kris@appekapps.com,"
877.217.2452 ",
Prolific Interactive," $25,000+ ",4.7,$150 - $199,"""50 - 249""","Brooklyn,",NY,https://clutch.co/profile/prolific-interactive,http://prolificinteractive.com/,newbusiness@prolificinteractive.com,"
347.462.0990 ",
Tapptitude," $5,000+ ",5,$25 - $49,"""10 - 49""","Cluj-Napoca,",None,https://clutch.co/profile/tapptitude,https://tapptitude.com,contact@tapptitude.com,"
+40743142383 ",
MindSea," $10,000+ ",5,$100 - $149,"""10 - 49""","Halifax,",None,https://clutch.co/profile/mindsea,http://www.mindsea.com/,hello@mindsea.com,"
1 (888) 3905150 ",
SingleMind," $25,000+ ",4.7,$100 - $149,"""10 - 49""","Lake Oswego,",OR,https://clutch.co/profile/singlemind,https://www.singlemindconsulting.com/user-experience-design/?utm_source=clutch&utm_medium=listing&utm_campaign=referral,hello@singlemindconsulting.com,"
866.997.4239 ",
BrainMobi," $10,000+ ",5,< $25,"""50 - 249""","Noida,",None,https://clutch.co/profile/brainmobi,https://www.brainmobi.com/,sales@brainmobi.com,"
+91 9643970717 ",
Posse," $25,000+ ",4.9,$150 - $199,"""10 - 49""","New York,",NY,https://clutch.co/profile/posse,http://www.goposse.com,hello@goposse.com,"
646-801-6385 ",
Seamgen," $75,000+ ",5,$100 - $149,"""50 - 249""","San Diego,",CA,https://clutch.co/profile/seamgen,http://www.seamgen.com/,hello@seamgen.com,"
619-819-7456 ",
Seasia Infotech," $10,000+ ",4.9,$25 - $49,"""250 - 999""","Mohali,",None,https://clutch.co/profile/seasia-infotech,https://www.seasiainfotech.com/,clutch@seasiainfotech.com,"
+91 988 825 1122 ",
Appetizer Mobile," $10,000+ ",4.9,$50 - $99,"""10 - 49""","New York,",NY,https://clutch.co/profile/appetizer-mobile,http://www.appetizermobile.com/,GetStarted@AppetizerMobile.com,"
212.613.1600 ",
CodeIT," $25,000+ ",4.9,$25 - $49,"""50 - 249""","Kharkiv,",None,https://clutch.co/profile/codeit,https://codeit.us,sales@codeit.us,"
+38 099 925 6885 ",
itCraft," $10,000+ ",5,$25 - $49,"""10 - 49""","Warsaw,",None,https://clutch.co/profile/itcraft,https://itcraftapps.com,hello@itcraftapps.com,"
+44 203 514 7441 ",
Sourcebits," $25,000+ ",4.5,$50 - $99,"""250 - 999""","Bangalore,",None,https://clutch.co/profile/sourcebits,http://sourcebits.com/,getstarted@sourcebits.com,"
+91 80675 00800 ",
Rozdoum," $10,000+ ",4.9,$25 - $49,"""250 - 999""","Kharkiv,",None,https://clutch.co/profile/rozdoum,https://rozdoum.com,quote@rozdoum.com,"
+1 315 707 7517 ",
