Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone
Nopio," $5,000+ ",4.7,$50 - $99,"""10 - 49""","Krakw,",None,https://clutch.co/profile/nopio,https://www.nopio.com/,say.hi@nopio.com,"
+48 606 739 707 "
Ragnarson," $5,000+ ",4.9,$50 - $99,"""10 - 49""","Lodz,",None,https://clutch.co/profile/ragnarson,https://ragnarson.com,sales@ragnarson.com,"
 "
Savvycom Software," $50,000+ ",4.8,None,"""50 - 249""","Hanoi,",None,https://clutch.co/profile/savvycom-software,http://www.savvycomsoftware.com,contact@savvycomsoftware.com,"
+84 24 3202 9222 "
Flatstack," $25,000+ ",5,$25 - $49,"""50 - 249""","New Orleans,",LA,https://clutch.co/profile/flatstack,http://www.flatstack.com/,contact@flatstack.com,"
888.499.9352 "
Vermonster," $25,000+ ",5,$150 - $199,"""10 - 49""","Boston,",MA,https://clutch.co/profile/vermonster,http://www.vermonster.com,info@vermonster.com,"
617-807-0857 "
Parrolabs," $10,000+ ",5,$25 - $49,"""10 - 49""","Medellin,",None,https://clutch.co/profile/parrolabs,http://www.parrolabs.com,niels@parrolabs.com,"
 "
JetRockets," $50,000+ ",5,$50 - $99,"""10 - 49""","Brooklyn,",NY,https://clutch.co/profile/jetrockets,http://jetrockets.pro?utm_source=clutch&utm_medium=directory&utm_campaign=clutchlisting,hello@jetrockets.pro,"
+1 (646) 598-6452 "
Agilie," $10,000+ ",5,$25 - $49,"""10 - 49""","Dnipro,",None,https://clutch.co/profile/agilie,http://agilie.com,info@agilie.com,"
+1(617)7782988 "
Rubyroid Labs," $10,000+ ",5,$25 - $49,"""10 - 49""","Minsk,",None,https://clutch.co/profile/rubyroid-labs,http://rubyroidlabs.com/,alex.galesnik@rubyroidlabs.com,"
+375296815734 "
Moove-it," $10,000+ ",4.9,$50 - $99,"""50 - 249""","Austin,",TX,https://clutch.co/profile/moove-it,http://www.moove-it.com,hello@moove-it.com,"
(512) 949-8991 "
LaunchPad Lab," $10,000+ ",4.8,$100 - $149,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/launchpad-lab,https://launchpadlab.com/,contact@launchpadlab.com,"
(312) 767-2211 "
VAIRIX Software Development," $10,000+ ",5,$50 - $99,"""10 - 49""","Montevideo,",None,https://clutch.co/profile/vairix-software-development,http://vairix.com,info@vairix.com,"
 "
Lockstep Labs," $25,000+ ",5,$50 - $99,"""10 - 49""","Boulder,",CO,https://clutch.co/profile/lockstep-labs,https://www.locksteplabs.com/,paul@locksteplabs.com,"
+1 9084428875 "
Briisk," $10,000+ ",4.6,$25 - $49,"""10 - 49""","Poznan,",None,https://clutch.co/profile/briisk,http://www.briisk.co,joanna@briisk.co,"
+48 600322243 "
Stride," $100,000+ ",4.3,$150 - $199,"""50 - 249""","New York,",NY,https://clutch.co/profile/stride,http://www.stridenyc.com,debbie@stridenyc.com,"
(212) 634-7240 "
IWA Ltd," $10,000+ ",4.4,$50 - $99,"""50 - 249""","Helsinki,",None,https://clutch.co/profile/iwa,http://www.iwa.fi,sales@iwa.fi,"
+358 40 730 7813 "
Droid Labs," $25,000+ ",5,$25 - $49,"""10 - 49""","Kazan,",None,https://clutch.co/profile/droid-labs,https://www.linkedin.com/company/droid-labs/,droid@droidlabs.pro,"
+7 (843) 249-41-47 "
LITSLINK," $5,000+ ",4.7,$25 - $49,"""50 - 249""","Kyiv,",None,https://clutch.co/profile/litslink,https://litslink.com/,bdm@litslink.com,"
+38097 277 66 88 "
FullStack Labs," $25,000+ ",4.8,$100 - $149,"""10 - 49""","Granite Bay,",CA,https://clutch.co/profile/fullstack-labs,http://www.fullstacklabs.co,david@fullstacklabs.co,"
415.609.2453 "
8th Light," $10,000+ ",4.5,$150 - $199,"""50 - 249""","Chicago,",IL,https://clutch.co/profile/8th-light,https://8thlight.com/,info@8thlight.com,"
877.407.4154 "
eTeam," $10,000+ ",4.8,$25 - $49,"""10 - 49""","San Francisco,",CA,https://clutch.co/profile/eteam,https://eteam.io,hello@eteam.io,"
 "
Square63," $5,000+ ",4.8,$25 - $49,"""10 - 49""","Dublin,",CA,https://clutch.co/profile/square63,http://www.square63.com,baber.javed@square63.com,"
+1 (415) 935-4424 "
Eastern Peak," $10,000+ ",4.7,$50 - $99,"""50 - 249""","Kharkiv,",None,https://clutch.co/profile/eastern-peak,https://easternpeak.com/,marketing@easternpeak.com,"
+1 415 501 0087 "
Dolphin Micro, Undisclosed,4.5,$100 - $149,"""10 - 49""","Louisville,",CO,https://clutch.co/profile/dolphin-micro,http://dolphinmicro.com/,info@dolphinmicro.com,"
888.589.2194 "
Active Bridge," $25,000+ ",4.6,$25 - $49,"""10 - 49""","Cherkassy,",None,https://clutch.co/profile/active-bridge,https://activebridge.org,contact@ab.team,"
+380636086045 "
Evermore," $10,000+ ",4.9,$50 - $99,"""2 - 9""","Brussels,",None,https://clutch.co/profile/evermore,http://weareevermore.com,hello@weareevermore.com,"
 "
SmartLogic," $10,000+ ",5,$150 - $199,"""10 - 49""","Baltimore,",MD,https://clutch.co/profile/smartlogic,http://smr.tl/1UyUbY3,contact@smartlogic.io,"
443.451.3001 "
LaSoft," $5,000+ ",5,$25 - $49,"""50 - 249""","Lviv,",None,https://clutch.co/profile/lasoft,http://www.lasoft.org,info@lasoft.org,"
+380 63 347 52 46 "
Icalia Labs," $5,000+ ",4.4,None,"""10 - 49""","Monterrey,",None,https://clutch.co/profile/icalia-labs,http://www.icalialabs.com,sales@icalialabs.com,"
 "
VeriQual , Undisclosed,5,$25 - $49,"""10 - 49""","Reading,",None,https://clutch.co/profile/veriqual,http://www.veriqual.co.uk,sales@veriqual.co.uk,"
44(20)3290.3443 "
Subvisual," $5,000+ ",4.5,$100 - $149,"""10 - 49""","Braga,",None,https://clutch.co/profile/subvisual,https://subvisual.co/,contact@subvisual.co,"
 "
Velocity Labs," $25,000+ ",5,$100 - $149,"""2 - 9""","Phoenix,",AZ,https://clutch.co/profile/velocity-labs,http://velocitylabs.io,contact@velocitylabs.io,"
602-633-5049 "
Syndicode," $10,000+ ",5,$25 - $49,"""10 - 49""","Kyiv,",None,https://clutch.co/profile/syndicode,https://syndicode.com,info@syndicode.com,"
 "
Roobykon Software," $1,000+ ",4.7,< $25,"""10 - 49""","Tallinn,",None,https://clutch.co/profile/roobykon-software,https://roobykon.com,contact@roobykon.com,"
+3727122084 "
Made Tech," $10,000+ ",4.7,$100 - $149,"""10 - 49""","London,",None,https://clutch.co/profile/made-tech,http://www.madetech.co.uk/,rory@madetech.co.uk,"
+44 20 3397 7846 "
Mallow Technologies ," $1,000+ ",4.9,< $25,"""50 - 249""","Karur,",None,https://clutch.co/profile/mallow-technologies,http://www.mallow-tech.com,contact@mallow-tech.com,"
+91 94421 20720 "
eproductions," $5,000+ ",4.9,$50 - $99,"""2 - 9""","Athens,",None,https://clutch.co/profile/eproductions,http://www.eproductions.gr,info@eproductions.gr,"
+30.210.72.99.210 "
iRonin.IT," $10,000+ ",5,$25 - $49,"""10 - 49""","Lehi,",UT,https://clutch.co/profile/ironinit,https://www.iRonin.IT,sales@iRonin.IT,"
+1 (385) 282 4499 "
Appchance, Undisclosed,4.8,$50 - $99,"""10 - 49""","Poznan,",None,https://clutch.co/profile/appchance,http://www.appchance.com,contact@appchance.com,"
48.600.508.713 "
COAX Software," $10,000+ ",4.9,$25 - $49,"""10 - 49""","Ivano-Frankivsk,",None,https://clutch.co/profile/coax-software,http://www.coaxsoft.com,sales@coaxsoft.com,"
+380682408700 "
Kodo Labs," $1,000+ ",5,$25 - $49,"""10 - 49""","Odessa,",None,https://clutch.co/profile/kodo-labs,https://kodolabs.com,engage@kodolabs.com,"
+380668250312 "
Doejo," $10,000+ ",4.8,$150 - $199,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/doejo,http://doejo.com/,darren@doejo.com,"
773-348-1227 "
Startup Development House," $10,000+ ",4.9,$25 - $49,"""10 - 49""","Warsaw,",None,https://clutch.co/profile/startup-development-house,http://start-up.house/,office@start-up.house,"
+44 203 893 2280 "
NYC Devshop," $25,000+ ",5,$100 - $149,"""10 - 49""","New York,",NY,https://clutch.co/profile/nyc-devshop,http://www.nycdevshop.com/,outreach@nycdevshop.com,"
(347) 765-2205 "
Softermii," $10,000+ ",4.9,$25 - $49,"""10 - 49""","Kiev,",None,https://clutch.co/profile/softermii,http://www.softermii.com/,info@softermii.com,"
1 (310) 499 - 0355 "
Northwest Independent Ruby Development," $25,000+ ",5,$150 - $199,"""2 - 9""","Seattle,",WA,https://clutch.co/profile/northwest-independent-ruby-development,https://www.nird.us,info@nird.us,"
 "
Webmil," $5,000+ ",4.5,< $25,"""10 - 49""","Ivano-Frankivs'k,",None,https://clutch.co/profile/webmil,http://webmil.eu/,sales@webmil.eu,"
+38 097 755 8036 +380 342 735 4 "
Evrone," $25,000+ ",4.7,$25 - $49,"""50 - 249""","San Francisco,",CA,https://clutch.co/profile/evrone,http://evrone.com,mail@evrone.com,"
+1 (415) 299-4883 "
Salt & Pepper," $5,000+ ",5,$25 - $49,"""10 - 49""","Tver,",None,https://clutch.co/profile/salt-pepper,https://snp.agency/en,ak@snp.agency,"
+7 910 640 05 84 "
Naturaily, Undisclosed,4.5,$25 - $49,"""10 - 49""","Wrocaw,",None,https://clutch.co/profile/naturaily,http://naturaily.com,hello@naturaily.com,"
 "
Everlabs," $5,000+ ",5,$25 - $49,"""10 - 49""","Cherkasy,",None,https://clutch.co/profile/everlabs,https://everlabs.com,oleg@everlabs.com,"
+380674453282 "
Loop Studio," $5,000+ ",5,$25 - $49,"""10 - 49""","Montevideo,",None,https://clutch.co/profile/loop-studio,http://loopstud.io,hello@loopstud.io,"
+59824007976 "
Rebased," $5,000+ ",5,$50 - $99,"""10 - 49""","Warsaw,",None,https://clutch.co/profile/rebased,https://rebased.pl,contact@rebased.pl,"
 "
Code Runners," $25,000+ ",4.8,$50 - $99,"""10 - 49""","Sofia,",None,https://clutch.co/profile/code-runners,http://www.code-runners.com,sales@code-runners.com,"
 "
Brewhouse Software, Undisclosed,5,$100 - $149,"""2 - 9""","Vancouver,",None,https://clutch.co/profile/brewhouse-software,http://brewhouse.io/,hello@brewhouse.io,"
604.757.4242 "
Echobind," $25,000+ ",4.8,$150 - $199,"""2 - 9""","Boston,",MA,https://clutch.co/profile/echobind,https://echobind.com,info@echobind.com,"
866.729.2970 "
F22 Labs," $10,000+ ",4.7,$25 - $49,"""10 - 49""","Teynampet, Chennai,",None,https://clutch.co/profile/f22-labs,http://f22labs.com/,murtuza@f22labs.com,"
530.464.5599 "
Molinos," $5,000+ ",4.9,$25 - $49,"""10 - 49""","Saint-Petersburg,",None,https://clutch.co/profile/molinos,https://molinosteam.com/,hello@molinos.studio,"
+7.812.380.00.50 "
PrimeHammer," $25,000+ ",4.5,$25 - $49,"""10 - 49""","Brno,",None,https://clutch.co/profile/primehammer,http://www.primehammer.com/,,"
 "
virtualforce.io, Undisclosed,4.5,$50 - $99,"""50 - 249""",None,None,https://clutch.co/profile/virtualforceio,http://virtualforce.io,tanzeel@virtual-force.com,"
 "
Gera-IT," $5,000+ ",4.7,$25 - $49,"""10 - 49""","Kiev,",None,https://clutch.co/profile/gera-it,http://gera-it.com,sales@gera-it.com,"
+380 (66) 910 22 26 "
Radgost Web Lab," $5,000+ ",5,$25 - $49,"""10 - 49""","Warsaw,",None,https://clutch.co/profile/radgost-web-lab,http://radgost.com,radgost@radgost.com,"
+44 20.3695.3629 "
Wolfpack Digital," $5,000+ ",5,$25 - $49,"""10 - 49""","Cluj-Napoca,",None,https://clutch.co/profile/wolfpack-digital,http://wolfpack-digital.com/,contact@wolfpack-digital.com,"
+40 741 118 030 "
New Lion, Undisclosed,5,$150 - $199,"""10 - 49""","Minneapolis,",MN,https://clutch.co/profile/new-lion,http://www.newlionlabs.com,connect@newlionlabs.com,"
(612) 568-7099 "
Amoniac OU," $5,000+ ",4.8,$25 - $49,"""10 - 49""","Tallinn,",None,https://clutch.co/profile/amoniac-ou,https://amoniac.eu,hello@amoniac.eu,"
+372 5770 7573 "
NotionTheory," $10,000+ ",5,$100 - $149,"""10 - 49""","Washington,",DC,https://clutch.co/profile/notiontheory,http://notiontheory.com,kristian@notiontheory.com,"
 "
Metastudio," $5,000+ ",5,$50 - $99,"""2 - 9""","Kazan,",None,https://clutch.co/profile/metastudio,https://metastudiohq.com/,info@metastudio.ru,"
+7 (965) 602-83-63 "
Vinova, Undisclosed,4,$25 - $49,"""10 - 49""","Singapore,",None,https://clutch.co/profile/vinova,http://vinova.sg,info@vinova.sg,"
+65 67073597 "
CabForward, Undisclosed,4.6,$100 - $149,"""10 - 49""","Austin,",TX,https://clutch.co/profile/cabforward%E2%84%A0,http://www.cabforward.com/,info@cabforward.com,"
512.693.4142 "
Teamvoy, Undisclosed,4.5,$25 - $49,"""10 - 49""","Lviv,",None,https://clutch.co/profile/teamvoy,http://teamvoy.com,info@teamvoy.com,"
+380632678904 "
Mutations Limited, Undisclosed,5,$150 - $199,"""2 - 9""","Los Angeles,",CA,https://clutch.co/profile/mutations,https://mutations.ltd,sales@mutations.ltd,"
 "
Toschas, Undisclosed,4.7,$50 - $99,"""10 - 49""","Belgrade,",None,https://clutch.co/profile/toschas,http://www.toschas.com,office@toschas.com,"
+381114072164 "
C42 Engineering, Undisclosed,4,$50 - $99,"""2 - 9""","Bangalore,",None,https://clutch.co/profile/c42-engineering,http://c42.in,business@c42.in,"
+91 80 42042671 "
Lotasoft," $5,000+ ",5,$25 - $49,"""2 - 9""","Minsk,",None,https://clutch.co/profile/lotasoft,http://www.lotasoft.com,info@lotasoft.com,"
 "
Bear & Giraffe," $10,000+ ",4.8,$100 - $149,"""2 - 9""","Austin,",TX,https://clutch.co/profile/bear-giraffe,http://bearandgiraffe.com,inquiries@bearandgiraffe.com,"
 "
Techcompose Solutions," $1,000+ ",4.8,< $25,"""10 - 49""","Ahmedabad,",None,https://clutch.co/profile/techcompose-solutions,http://www.techcompose.com,sales@techcompose.com,"
+91-079-48982088 "
KAI Software Inc," $25,000+ ",5,$50 - $99,"""2 - 9""","New York,",NY,https://clutch.co/profile/kai-software,https://kai24.com,hello@kai24.com,"
(718) 705-8574 "
Rival Group," $10,000+ ",5,$150 - $199,"""2 - 9""","New York,",NY,https://clutch.co/profile/rival-group,http://www.rivalgroupnyc.com/,hello@rivalgroupnyc.com,"
 "
VORM," $10,000+ ",5,$50 - $99,"""10 - 49""","San Francisco,",CA,https://clutch.co/profile/vorm,http://vorm.io,hi@vorm.io,"
+1 650-215-6143 "
MI DIGITAL," $5,000+ ",4.8,$50 - $99,"""2 - 9""","Zagreb,",None,https://clutch.co/profile/mi-digital,http://midigital.eu,info@midigital.eu,"
 "
Red Panthers," $10,000+ ",4.7,$25 - $49,"""10 - 49""","Buffalo,",WY,https://clutch.co/profile/red-panthers,https://redpanthers.co,hsps@redpanthers.co,"
+1 (860) 514 8237 "
Ascender Studios, Undisclosed,4.5,$100 - $149,"""2 - 9""","New York,",NY,https://clutch.co/profile/ascender-studios,http://www.ascenderstudios.com,hi@ascenderstudios.com,"
 "
Devathon," $5,000+ ",4.8,$25 - $49,"""10 - 49""","Hyderabad,",None,https://clutch.co/profile/devathon,http://devathon.com/,hello@devathon.com,"
 "
Amalgama ," $10,000+ ",4.9,$50 - $99,"""10 - 49""","Buenos Aires,",None,https://clutch.co/profile/amalgama,http://amalgama.co/,hello@amalgama.co,"
 "
Otari," $5,000+ ",5,$25 - $49,"""2 - 9""",None,None,https://clutch.co/profile/otari,http://otari.pro,denis@otari.pro,"
 "
"Vaporware, Inc."," $25,000+ ",5,$150 - $199,"""2 - 9""",None,None,https://clutch.co/profile/vaporware,http://vaporwa.re/,hello@vaporwa.re,"
 "
AppDrawn," $25,000+ ",5,None,"""2 - 9""","London,",None,https://clutch.co/profile/appdrawn,https://www.appdrawn.com/,office@appdrawn.com,"
01442 211999 "
SunDevs Inc," $10,000+ ",5,$25 - $49,"""10 - 49""","Tolima,",None,https://clutch.co/profile/sundevs,http://www.sundevs.com/,fabian.leon@sundevs.com,"
 "
Alofa Techlabs (Pvt) Ltd," $1,000+ ",5,< $25,"""2 - 9""","Battaramulla,",None,https://clutch.co/profile/alofa-techlabs,http://www.alofatechlabs.com,sahan@alofatechlabs.com,"
+94112080886 "
STACKLEVEL," $5,000+ ",5,$25 - $49,"""10 - 49""","Minsk,",None,https://clutch.co/profile/stacklevel,https://stacklevel.org/,contact@stacklevel.org,"
+375(44).5.329.329 "
AppUnite, Undisclosed,4.8,$50 - $99,"""10 - 49""","Poznan,",None,https://clutch.co/profile/appunite,https://appunite.com,office@appunite.com,"
+48 532 568 641 "
"Net Theory, Inc."," $5,000+ ",4.8,$150 - $199,"""2 - 9""","New York,",NY,https://clutch.co/profile/net-theory,http://www.nettheory.com,info@nettheory.com,"
212.868.5950 "
Cron d.o.o.," $1,000+ ",4.5,$25 - $49,"""2 - 9""","Sarajevo,",None,https://clutch.co/profile/cron-doo,https://crondev.com,hello@crondev.com,"
+387 63 736 916 "
CODETAIN," $5,000+ ",None,$25 - $49,"""2 - 9""","Zielona Gra,",None,https://clutch.co/profile/codetain,http://www.codetain.eu,daniel-g@codetain.eu,"
+48664168883 "
Gitz," $5,000+ ",4.5,$25 - $49,"""2 - 9""","Santiago,",None,https://clutch.co/profile/gitz,http://www.gitz.cl,contacto@gitz.cl,"
 "
Spark Solutions, Undisclosed,3.6,$50 - $99,"""10 - 49""","Warsaw,",None,https://clutch.co/profile/spark-solutions,http://sparksolutions.co/,we@sparksolutions.co,"
+48607144001 "
Quick Left - Out of Business, Undisclosed,4.7,$150 - $199,"""10 - 49""","Boulder,",CO,https://clutch.co/profile/quick-left-out-business,http://quickleft.com/,sales@quickleft.com,"
303.242.5536 "
ENOTY - No longer in business, Undisclosed,5,$25 - $49,"""10 - 49""","Kazan,",None,https://clutch.co/profile/enoty-no-longer-business,http://enoty.pro/,contact@racoons-group.com,"
+79196857947 "
Sticksnleaves, Undisclosed,None,$100 - $149,"""2 - 9""","Indianapolis,",IN,https://clutch.co/profile/sticksnleaves,http://www.sticksnleaves.com/,trees@sticksnleaves.com,"
866-560-6237 "
Ravenna, Undisclosed,None,$150 - $199,"""2 - 9""","Bothell,",WA,https://clutch.co/profile/ravenna,http://ravennainteractive.com/,info@ravennainteractive.com,"
206.427.0000 "
Made by Munsters," $5,000+ ",None,$100 - $149,"""2 - 9""","Indianapolis,",IN,https://clutch.co/profile/made-munsters,http://www.madebymunsters.com,hello@madebymunsters.com,"
806.543.8559 "
State Digital, Undisclosed,None,$100 - $149,"""2 - 9""","Lakeway,",TX,https://clutch.co/profile/state-digital,http://www.statebuilt.com,info@statebuilt.com,"
512.587.7590 "
Unteleported," $5,000+ ",None,$25 - $49,"""10 - 49""","Kiev,",None,https://clutch.co/profile/unteleported,http://unteleported.com,hello@unteleported.com,"
 "
Enable Labs, Undisclosed,None,$100 - $149,"""10 - 49""","Troy,",NY,https://clutch.co/profile/enable-labs,http://enablelabs.com,info@enablelabs.com,"
518.272.4455 "
Grace Lab," $1,000+ ",None,$25 - $49,"""10 - 49""","Lviv,",None,https://clutch.co/profile/grace-lab,http://gracelab.co,info@gracelab.co,"
+380 63 068 25 16 "
The Coding Bull," $5,000+ ",None,$100 - $149,"""10 - 49""","Vancouver,",None,https://clutch.co/profile/coding-bull,https://thecodingbull.com/,info@thecodingbull.com,"
604.398.3222 "
Cybrilla," $25,000+ ",None,$25 - $49,"""50 - 249""","Bangalore,",None,https://clutch.co/profile/cybrilla,http://www.cybrilla.com,contact@cybrilla.com,"
+919916513401 "
Techverx," $5,000+ ",None,$25 - $49,"""50 - 249""","Lahore,",None,https://clutch.co/profile/techverx,http://www.techverx.com,hello@techverx.com,"
+92-42-3595-6398 "
Icicle Technologies Pvt. Ltd.," $10,000+ ",None,$25 - $49,"""50 - 249""","Mumbai,",None,https://clutch.co/profile/icicle-technologies,http://www.icicletech.com,hello@icicletech.com,"
+919004210210 "
